node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
AP_A 0 A 6.25 5.0 3.9472 0 7
STA_A1 1 A 14.0673 10.4011 4.6726 0 7
STA_A2 1 A 15.4964 7.8883 4.7884 0 7
STA_A3 1 A 7.3848 -2.7472 6.9673 0 7
STA_A4 1 A 1.4722 1.8432 7.1718 0 7
STA_A5 1 A 6.0455 14.7779 5.0817 0 7
STA_A6 1 A 4.1568 0.5313 8.0376 0 7
STA_A7 1 A 11.1485 12.9967 6.9466 0 7
STA_A8 1 A 0.6158 3.0223 6.0575 0 7
STA_A9 1 A 5.2135 10.7099 5.0526 0 7
STA_A10 1 A 15.7722 6.8687 6.9919 0 7
AP_B 0 B 18.75 5.0 9.993 0 1
STA_B1 1 B 26.2062 6.5696 4.3998 0 1
STA_B2 1 B 17.8713 14.5152 6.9639 0 1
STA_B3 1 B 22.7474 11.132 4.7372 0 1
STA_B4 1 B 27.2435 7.3248 3.1604 0 1
STA_B5 1 B 18.2238 11.7024 4.042 0 1
STA_B6 1 B 16.9279 13.8004 7.1775 0 1
STA_B7 1 B 11.8949 5.6527 4.6528 0 1
STA_B8 1 B 23.8373 11.8738 8.6336 0 1
STA_B9 1 B 12.8944 12.6429 7.779 0 1
STA_B10 1 B 11.3592 1.2473 5.2425 0 1
AP_C 0 C 31.25 5.0 6.6706 0 3
STA_C1 1 C 23.7586 0.9828 7.2323 0 3
STA_C2 1 C 33.135 6.8936 9.7332 0 3
STA_C3 1 C 35.8588 4.0553 8.5038 0 3
STA_C4 1 C 27.7082 -2.2201 3.2025 0 3
STA_C5 1 C 37.7999 12.5492 6.9131 0 3
STA_C6 1 C 36.8019 9.9304 7.6933 0 3
STA_C7 1 C 35.1223 13.7464 4.6313 0 3
STA_C8 1 C 35.9548 8.3647 8.957 0 3
STA_C9 1 C 38.6422 7.8787 7.6272 0 3
STA_C10 1 C 39.7161 5.3872 7.9578 0 3
STA_C11 1 C 26.4977 6.9544 5.8862 0 3
STA_C12 1 C 26.2639 5.5735 4.7578 0 3
STA_C13 1 C 36.1974 0.8383 7.9322 0 3
AP_D 0 D 43.75 5.0 3.4895 0 3
STA_D1 1 D 45.1392 7.2625 5.5724 0 3
STA_D2 1 D 35.4704 0.9845 8.3864 0 3
STA_D3 1 D 43.8253 -4.6498 4.418 0 3
STA_D4 1 D 43.9274 0.0025 6.9112 0 3
STA_D5 1 D 39.1777 4.2167 6.005 0 3
STA_D6 1 D 44.3648 14.4391 3.836 0 3
STA_D7 1 D 36.4185 1.3183 6.9973 0 3
STA_D8 1 D 37.1824 4.8797 8.716 0 3
STA_D9 1 D 51.5667 2.4447 6.1452 0 3
STA_D10 1 D 37.3149 6.0867 8.3578 0 3
STA_D11 1 D 47.2517 -1.1195 3.7177 0 3
STA_D12 1 D 48.3586 -0.2807 6.3109 0 3
STA_D13 1 D 38.1493 0.3346 6.2468 0 3
STA_D14 1 D 50.8466 3.572 5.3157 0 3
STA_D15 1 D 38.8982 7.6465 5.261 0 3
STA_D16 1 D 39.5167 -3.2205 9.9076 0 3
AP_E 0 E 6.25 15.0 3.1361 0 3
STA_E1 1 E -3.0234 16.3649 5.3699 0 3
STA_E2 1 E 16.044 15.6947 3.7486 0 3
STA_E3 1 E 13.8435 14.5729 9.4166 0 3
STA_E4 1 E 9.883 17.0065 8.6269 0 3
STA_E5 1 E 2.4413 9.5323 3.0757 0 3
STA_E6 1 E 13.3066 9.0009 9.5247 0 3
STA_E7 1 E 0.7115 10.9376 4.3493 0 3
STA_E8 1 E 11.1971 13.2562 3.3817 0 3
STA_E9 1 E 9.5826 19.0325 5.2527 0 3
STA_E10 1 E 4.7217 5.5091 7.0025 0 3
STA_E11 1 E -2.2436 9.7814 9.1437 0 3
STA_E12 1 E 11.4313 14.6959 5.2791 0 3
STA_E13 1 E 13.2011 19.3041 7.4462 0 3
STA_E14 1 E 4.5233 23.1915 8.3901 0 3
STA_E15 1 E 7.6836 5.5911 8.8621 0 3
STA_E16 1 E 13.8343 14.6441 9.363 0 3
STA_E17 1 E 10.0996 21.3615 6.8355 0 3
AP_F 0 F 18.75 15.0 9.2146 0 3
STA_F1 1 F 20.6805 11.134 7.2052 0 3
STA_F2 1 F 22.8349 11.1839 6.9925 0 3
STA_F3 1 F 13.4916 20.9464 9.7043 0 3
STA_F4 1 F 17.3337 21.2406 4.8355 0 3
STA_F5 1 F 19.0037 6.7298 7.017 0 3
STA_F6 1 F 25.6608 12.2066 7.6993 0 3
STA_F7 1 F 24.587 18.6023 6.6066 0 3
STA_F8 1 F 24.3018 11.4961 5.8349 0 3
STA_F9 1 F 23.8551 12.2572 9.7518 0 3
STA_F10 1 F 17.2628 12.0872 3.88 0 3
STA_F11 1 F 15.6712 9.5743 7.3746 0 3
STA_F12 1 F 24.9045 13.0485 8.871 0 3
STA_F13 1 F 22.0739 15.5785 6.705 0 3
STA_F14 1 F 16.7079 19.1191 9.7848 0 3
STA_F15 1 F 25.5397 21.3642 9.6228 0 3
STA_F16 1 F 17.864 20.5279 9.6242 0 3
STA_F17 1 F 21.7504 8.0455 6.5702 0 3
AP_G 0 G 31.25 15.0 4.0404 2 3
STA_G1 1 G 29.6511 9.8908 5.5856 2 3
STA_G2 1 G 24.9268 18.4802 8.1376 2 3
STA_G3 1 G 40.3489 12.3625 7.7864 2 3
STA_G4 1 G 28.2561 23.8662 3.1422 2 3
STA_G5 1 G 27.8584 16.6909 8.7098 2 3
STA_G6 1 G 36.8368 17.9636 7.5054 2 3
STA_G7 1 G 23.159 15.196 6.4818 2 3
STA_G8 1 G 25.5375 8.2499 5.8616 2 3
STA_G9 1 G 31.1815 19.1304 6.2566 2 3
STA_G10 1 G 26.2795 19.2331 6.3238 2 3
STA_G11 1 G 33.9518 15.2192 7.6198 2 3
AP_H 0 H 43.75 15.0 5.3163 0 7
STA_H1 1 H 50.8366 19.6358 7.6975 0 7
STA_H2 1 H 44.7762 12.1122 5.2322 0 7
STA_H3 1 H 51.384 13.2026 3.1373 0 7
STA_H4 1 H 36.8878 17.6031 5.5549 0 7
STA_H5 1 H 41.9624 21.8581 6.4858 0 7
STA_H6 1 H 43.7353 6.3896 3.4119 0 7
STA_H7 1 H 51.8819 15.335 6.3387 0 7
STA_H8 1 H 38.7414 17.3534 9.7186 0 7
STA_H9 1 H 46.9265 9.7797 5.4945 0 7
STA_H10 1 H 47.3136 7.0353 9.1619 0 7
STA_H11 1 H 41.4956 18.412 6.9853 0 7
