node_code;node_type;wlan_code;x(m);y(m);z(m);max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;6.3262;7;1
STA_A1;1;A;9.4498;8.6383;4.1255;7;0
STA_A2;1;A;13.7222;8.2424;7.6077;7;0
STA_A3;1;A;13.1582;0.6481;6.5689;7;0
STA_A4;1;A;13.373;-1.9888;8.7539;7;0
STA_A5;1;A;1.1189;0.8092;5.4509;7;0
STA_A6;1;A;11.7545;11.455;9.391;7;0
STA_A7;1;A;2.7975;6.126;9.4774;7;0
STA_A8;1;A;11.6468;2.2486;6.3328;7;0
STA_A9;1;A;6.1638;2.9917;8.9668;7;0
STA_A10;1;A;9.0192;12.7082;6.8019;7;0
AP_B;0;B;18.75;5.0;9.2851;1;1
STA_B1;1;B;12.3276;-0.4071;5.2768;1;0
STA_B2;1;B;20.2203;-4.1624;6.7866;1;0
STA_B3;1;B;10.6294;3.011;6.3597;1;0
STA_B4;1;B;19.3926;8.8292;4.1661;1;0
STA_B5;1;B;10.704;4.3376;9.396;1;0
STA_B6;1;B;22.082;5.6406;7.1616;1;0
STA_B7;1;B;11.7493;3.0369;9.1019;1;0
STA_B8;1;B;27.0027;4.2109;4.9627;1;0
STA_B9;1;B;22.677;8.4014;6.5941;1;0
STA_B10;1;B;18.9866;6.7862;5.2823;1;0
STA_B11;1;B;10.4796;4.3991;3.4186;1;0
STA_B12;1;B;26.6278;3.6954;9.1769;1;0
STA_B13;1;B;12.4544;3.2631;8.3961;1;0
STA_B14;1;B;20.2859;10.4346;6.4939;1;0
STA_B15;1;B;14.5654;-3.2948;4.6757;1;0
AP_C;0;C;31.25;5.0;9.3882;7;1
STA_C1;1;C;32.6218;2.9437;5.1902;7;0
STA_C2;1;C;27.775;-0.9995;6.3539;7;0
STA_C3;1;C;26.8952;-1.414;7.6736;7;0
STA_C4;1;C;33.6363;-0.3085;9.2552;7;0
STA_C5;1;C;34.6415;13.5661;3.2865;7;0
STA_C6;1;C;24.4902;2.2979;9.3363;7;0
STA_C7;1;C;24.9054;7.4787;6.297;7;0
STA_C8;1;C;23.1366;-0.159;3.4363;7;0
STA_C9;1;C;31.2157;12.5146;6.3761;7;0
STA_C10;1;C;27.0609;6.1158;5.9554;7;0
STA_C11;1;C;24.3926;2.4844;9.3573;7;0
STA_C12;1;C;39.3468;6.9592;9.6495;7;0
STA_C13;1;C;32.2828;-4.3716;9.2902;7;0
AP_D;0;D;43.75;5.0;3.2113;3;1
STA_D1;1;D;39.3293;5.4783;9.7907;3;0
STA_D2;1;D;50.3986;6.4743;6.4752;3;0
STA_D3;1;D;41.334;10.5973;4.2006;3;0
STA_D4;1;D;42.656;6.4021;7.6406;3;0
STA_D5;1;D;43.615;-1.0992;3.1154;3;0
STA_D6;1;D;38.1967;9.9838;8.8173;3;0
STA_D7;1;D;45.4891;12.2663;9.5239;3;0
STA_D8;1;D;50.0674;10.0803;6.7213;3;0
STA_D9;1;D;39.8731;11.7867;4.5884;3;0
STA_D10;1;D;41.2479;5.6171;7.5098;3;0
STA_D11;1;D;45.3738;10.2871;5.5936;3;0
STA_D12;1;D;38.525;13.2415;6.3782;3;0
STA_D13;1;D;46.5103;7.9439;3.7701;3;0
STA_D14;1;D;50.9463;2.1759;8.9221;3;0
AP_E;0;E;6.25;15.0;3.7678;3;1
STA_E1;1;E;11.4963;12.04;3.5859;3;0
STA_E2;1;E;3.3518;19.9355;8.2249;3;0
STA_E3;1;E;-0.7272;9.4944;7.3836;3;0
STA_E4;1;E;10.5179;13.8145;5.1237;3;0
STA_E5;1;E;1.0276;15.9013;7.5859;3;0
STA_E6;1;E;3.1276;24.0908;5.68;3;0
STA_E7;1;E;14.9959;18.6669;7.1529;3;0
STA_E8;1;E;-1.1065;16.2884;7.4196;3;0
STA_E9;1;E;14.2073;11.7615;4.5354;3;0
STA_E10;1;E;1.8155;14.0119;7.2417;3;0
AP_F;0;F;18.75;15.0;3.8663;3;1
STA_F1;1;F;18.2336;19.8693;9.2969;3;0
STA_F2;1;F;19.282;18.256;9.1602;3;0
STA_F3;1;F;12.1714;12.1596;7.8458;3;0
STA_F4;1;F;14.0706;16.5309;9.2923;3;0
STA_F5;1;F;17.6536;19.1519;6.5941;3;0
STA_F6;1;F;15.9453;16.7218;6.6621;3;0
STA_F7;1;F;24.0053;15.7541;5.3478;3;0
STA_F8;1;F;13.8708;8.1018;8.7637;3;0
STA_F9;1;F;17.3594;23.6981;9.9445;3;0
STA_F10;1;F;21.043;24.3845;7.3872;3;0
STA_F11;1;F;17.5468;5.2172;3.2552;3;0
STA_F12;1;F;23.3028;13.4711;4.9057;3;0
STA_F13;1;F;23.7252;10.9979;7.5806;3;0
AP_G;0;G;31.25;15.0;8.5937;7;1
STA_G1;1;G;31.0757;9.5529;9.712;7;0
STA_G2;1;G;29.7329;23.1132;9.7068;7;0
STA_G3;1;G;31.942;13.3958;5.484;7;0
STA_G4;1;G;29.5504;6.661;9.1391;7;0
STA_G5;1;G;32.5596;9.2064;6.7486;7;0
STA_G6;1;G;37.3511;17.2799;5.5978;7;0
STA_G7;1;G;28.0569;22.6773;8.0337;7;0
STA_G8;1;G;28.1668;10.3885;7.6754;7;0
STA_G9;1;G;30.635;5.7204;4.2736;7;0
STA_G10;1;G;30.7705;12.014;9.227;7;0
AP_H;0;H;43.75;15.0;9.5298;7;1
STA_H1;1;H;46.6983;23.8099;4.5234;7;0
STA_H2;1;H;36.7262;8.3123;3.9386;7;0
STA_H3;1;H;45.3975;20.4616;9.2967;7;0
STA_H4;1;H;39.9798;7.4495;5.4755;7;0
STA_H5;1;H;41.4192;21.5119;9.9154;7;0
STA_H6;1;H;41.7754;7.3818;3.1445;7;0
STA_H7;1;H;48.095;15.8957;5.5766;7;0
STA_H8;1;H;37.0898;12.5581;6.7454;7;0
STA_H9;1;H;42.0138;15.6255;5.1992;7;0
STA_H10;1;H;40.9987;15.3734;8.8965;7;0
STA_H11;1;H;37.4916;11.202;7.9829;7;0
STA_H12;1;H;46.8539;9.8578;7.3875;7;0
STA_H13;1;H;42.0599;24.4403;7.9786;7;0
STA_H14;1;H;45.7652;18.9271;7.2497;7;0
