node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;4.4261;6;6;7;1
STA_A1;1;A;13.2206;-1.1673;5.6832;6;6;7;0
STA_A2;1;A;9.5257;-2.8874;7.2573;6;6;7;0
STA_A3;1;A;-1.0836;3.7993;3.3943;6;6;7;0
STA_A4;1;A;1.5986;1.2444;8.4526;6;6;7;0
STA_A5;1;A;1.7342;2.5363;7.2496;6;6;7;0
STA_A6;1;A;9.6166;-1.866;6.2512;6;6;7;0
STA_A7;1;A;7.4869;8.5677;9.2646;6;6;7;0
STA_A8;1;A;1.7754;0.4885;9.2687;6;6;7;0
STA_A9;1;A;9.1402;5.8801;4.7707;6;6;7;0
STA_A10;1;A;13.6568;9.2272;3.8097;6;6;7;0
STA_A11;1;A;11.3515;11.5267;9.6871;6;6;7;0
STA_A12;1;A;4.8348;0.712;4.6036;6;6;7;0
STA_A13;1;A;13.4862;5.0319;7.6237;6;6;7;0
STA_A14;1;A;12.2971;0.4451;9.2462;6;6;7;0
AP_B;0;B;18.75;5.0;6.661;0;0;3;1
STA_B1;1;B;27.4621;6.4975;4.6437;0;0;3;0
STA_B2;1;B;23.332;8.629;6.4432;0;0;3;0
STA_B3;1;B;15.3647;3.0339;8.8814;0;0;3;0
STA_B4;1;B;10.2064;3.4798;9.6582;0;0;3;0
STA_B5;1;B;15.3617;-0.8694;7.4824;0;0;3;0
STA_B6;1;B;24.9332;12.8534;6.1092;0;0;3;0
STA_B7;1;B;15.2963;10.5964;7.2981;0;0;3;0
STA_B8;1;B;10.6745;3.8137;4.5297;0;0;3;0
AP_C;0;C;31.25;5.0;4.9651;0;0;3;1
STA_C1;1;C;27.5837;2.4002;4.8718;0;0;3;0
STA_C2;1;C;28.54;0.149;6.3332;0;0;3;0
STA_C3;1;C;34.3225;13.043;9.4627;0;0;3;0
STA_C4;1;C;35.8612;0.1821;7.7644;0;0;3;0
STA_C5;1;C;32.1343;13.6482;7.1966;0;0;3;0
STA_C6;1;C;27.6344;0.1404;5.2097;0;0;3;0
STA_C7;1;C;28.5302;3.3568;7.8745;0;0;3;0
STA_C8;1;C;33.25;-1.761;3.0707;0;0;3;0
AP_D;0;D;43.75;5.0;4.0002;0;0;1;1
STA_D1;1;D;38.9933;-0.3359;7.2698;0;0;1;0
STA_D2;1;D;49.602;7.0903;8.944;0;0;1;0
STA_D3;1;D;41.395;11.2422;7.786;0;0;1;0
STA_D4;1;D;50.2706;11.2285;9.4544;0;0;1;0
